ISO8601,fromDate,toDate,bedtime,waketime,inBed,awake,fellAsleepIn,sessions,asleep,asleepAvg7,efficiency,efficiencyAvg7,quality,qualityAvg7,deep,deepAvg7,sleepBPM,sleepBPMAvg7,dayBPM,dayBPMAvg7,wakingBPM,wakingBPMAvg7,hrv,hrvAvg7,sleepHRV,sleepHRVAvg7,SpO2Avg,SpO2Min,SpO2Max,respAvg,respMin,respMax,apnea,tags,notes
2024-09-01T20:59:59-04:00,"Saturday, Aug 31, 2024","Sunday, Sep 1, 2024",2024-09-01 01:30:00,2024-09-01 10:03:00,08:33:00,00:40:00,00:00:00,1,07:53:00,08:16:34,92.2,95.6,04:48:46,05:34:16,01:13:54,02:01:52,61.8,61.9,89.6,86.2,59.0,67.7,113,111,58,65,95.7,94,99,15.3,13.0,17.5,,,
2024-09-02T20:59:59-04:00,"Sunday, Sep 1, 2024","Monday, Sep 2, 2024",2024-09-02 01:43:00,2024-09-02 10:24:00,08:41:00,00:23:00,00:00:00,1,08:18:00,08:20:34,95.6,95.3,06:02:24,05:35:15,03:16:11,02:02:37,58.6,61.5,77.3,85.2,63.0,68.4,88,110,51,67,95.5,94,96,15.4,13.5,17.0,,,
2024-09-03T20:59:59-04:00,"Monday, Sep 2, 2024","Tuesday, Sep 3, 2024",2024-09-03 01:57:00,2024-09-03 10:33:00,08:36:00,00:21:00,00:00:00,1,08:15:00,08:15:51,95.9,95.3,05:23:31,05:30:34,02:25:35,02:04:34,59.1,61.2,82.9,85.1,73.0,70.9,65,93,49,59,95.8,94,97,15.7,13.0,19.0,,,
2024-09-04T20:59:59-04:00,"Tuesday, Sep 3, 2024","Wednesday, Sep 4, 2024",2024-09-04 00:45:00,2024-09-04 07:59:00,07:14:00,00:15:00,00:00:00,1,06:59:00,08:09:08,96.5,95.7,05:12:17,05:33:59,01:59:43,02:03:55,60.9,60.3,81.7,84.5,59.0,64.9,63,88,43,58,95.5,93,98,14.8,13.0,16.5,,,"Classes began"
2024-09-05T20:59:59-04:00,"Wednesday, Sep 4, 2024","Thursday, Sep 5, 2024",2024-09-05 00:16:00,2024-09-05 08:17:00,08:01:00,00:00:00,00:00:00,1,08:01:00,08:09:08,100.0,96.0,05:30:48,05:33:57,02:45:21,02:12:30,60.3,60.4,81.6,85.1,59.0,64.1,89,90,55,58,96.6,95,98,15.7,13.0,31.0,,,
2024-09-06T20:59:59-04:00,"Thursday, Sep 5, 2024","Friday, Sep 6, 2024",2024-09-06 01:15:00,2024-09-06 10:39:00,09:24:00,00:13:00,00:00:00,1,09:11:00,08:07:25,97.7,96.8,06:38:35,05:36:22,03:49:35,02:28:22,64.6,60.8,90.2,85.9,90.0,67.9,66,82,43,53,95.9,94,100,15.4,13.0,18.0,,,
2024-09-07T20:59:59-04:00,"Friday, Sep 6, 2024","Saturday, Sep 7, 2024",2024-09-07 01:15:00,2024-09-07 09:45:00,08:30:00,00:07:00,00:00:00,1,08:23:00,08:08:34,98.6,96.7,05:40:07,05:36:38,02:01:56,02:30:19,58.9,60.6,77.7,83.0,58.0,65.9,117,86,68,52,95.9,94,97,15.1,13.5,17.0,,,
2024-09-08T20:59:59-04:00,"Saturday, Sep 7, 2024","Sunday, Sep 8, 2024",2024-09-08 00:52:00,2024-09-08 09:16:00,08:24:00,00:26:00,00:00:00,1,07:58:00,08:09:17,94.8,97.0,05:27:59,05:42:14,02:10:22,02:38:23,59.2,60.2,77.1,81.2,58.0,65.7,80,81,57,52,95.9,94,98,14.6,12.5,18.0,,,
2024-09-09T20:59:59-04:00,"Sunday, Sep 8, 2024","Monday, Sep 9, 2024",2024-09-09 00:25:00,2024-09-09 07:44:00,07:19:00,00:00:00,00:00:00,1,07:19:00,08:00:51,100.0,97.7,04:54:28,05:32:32,02:26:20,02:31:16,57.0,60.0,80.1,81.6,52.0,64.1,98,83,51,52,95.9,95,97,14.7,12.5,16.5,,,
2024-09-10T20:59:59-04:00,"Monday, Sep 9, 2024","Tuesday, Sep 10, 2024",2024-09-10 00:45:00,2024-09-10 09:45:00,09:00:00,00:00:00,00:00:00,1,09:00:00,08:07:17,100.0,98.2,06:13:26,05:39:40,02:45:00,02:34:02,58.7,59.9,78.4,81.0,63.0,62.7,79,85,54,53,95.9,94,97,14.7,12.5,17.0,,,
