ISO8601,fromDate,toDate,bedtime,waketime,inBed,awake,fellAsleepIn,sessions,asleep,asleepAvg7,efficiency,efficiencyAvg7,quality,qualityAvg7,deep,deepAvg7,sleepBPM,sleepBPMAvg7,dayBPM,dayBPMAvg7,wakingBPM,wakingBPMAvg7,hrv,hrvAvg7,sleepHRV,sleepHRVAvg7,SpO2Avg,SpO2Min,SpO2Max,respAvg,respMin,respMax,apnea,tags,notes
2024-04-01T20:59:59-04:00,"Sunday, Mar 31, 2024","Monday, Apr 1, 2024",2024-03-31 17:39:00,2024-04-01 02:30:00,08:51:00,00:05:00,00:00:00,1,08:46:00,07:51:42,99.1,96.8,06:24:20,05:34:38,02:45:19,02:45:03,64.1,65.8,92.2,83.4,60.0,63.6,60,70,45,49,96.6,96,98,,,,,,
2024-04-02T20:59:59-04:00,"Monday, Apr 1, 2024","Tuesday, Apr 2, 2024",2024-04-01 18:29:00,2024-04-02 02:00:00,07:31:00,00:22:00,00:00:00,1,07:09:00,07:32:51,95.1,96.1,05:18:14,05:21:32,02:02:34,02:38:59,63.1,65.9,80.6,82.8,61.0,62.7,68,71,64,50,96.6,94,98,,,,,,
2024-04-03T20:59:59-04:00,"Tuesday, Apr 2, 2024","Wednesday, Apr 3, 2024",2024-04-02 17:36:00,2024-04-03 01:17:00,07:41:00,00:00:00,00:00:00,1,07:41:00,07:33:17,100.0,96.8,05:41:45,05:26:56,01:58:58,02:37:00,62.4,65.6,78.5,82.6,58.0,61.4,157,83,118,60,96.7,95,99,,,,,,
2024-04-04T20:59:59-04:00,"Wednesday, Apr 3, 2024","Thursday, Apr 4, 2024",2024-04-03 17:30:00,2024-04-04 02:15:00,08:45:00,00:00:00,00:00:00,1,08:45:00,07:09:42,100.0,97.7,05:42:40,05:08:18,02:30:00,02:41:32,64.5,65.6,82.1,82.9,75.0,64.6,99,82,96,64,95.5,94,97,,,,,,
2024-04-05T20:59:59-04:00,"Thursday, Apr 4, 2024","Friday, Apr 5, 2024",2024-04-04 17:24:00,2024-04-05 02:00:00,08:36:00,00:24:00,00:00:00,1,08:12:00,08:17:17,95.3,97.0,05:47:08,05:56:28,02:39:11,02:39:06,64.4,63.6,86.4,83.5,66.0,63.1,59,80,43,65,96.2,93,98,,,,,,
2024-04-06T20:59:59-04:00,"Friday, Apr 5, 2024","Saturday, Apr 6, 2024",2024-04-05 19:24:00,2024-04-06 04:12:00,08:48:00,00:00:00,00:00:00,1,08:48:00,08:13:51,100.0,97.6,06:24:20,05:51:35,02:26:40,02:26:51,67.6,64.1,89.7,84.2,66.0,64.0,54,79,34,62,95.9,95,98,,,,,,
2024-04-07T20:59:59-04:00,"Saturday, Apr 6, 2024","Sunday, Apr 7, 2024",2024-04-06 19:38:00,2024-04-07 04:38:00,09:00:00,00:08:00,00:00:00,1,08:52:00,08:19:00,98.5,98.3,06:32:12,05:58:40,02:47:12,02:27:07,60.6,63.8,86.1,85.1,60.0,63.7,58,79,42,63,96.1,93,98,,,,,,
2024-04-08T20:59:59-04:00,"Sunday, Apr 7, 2024","Monday, Apr 8, 2024",2024-04-07 18:30:00,2024-04-08 02:15:00,07:45:00,00:00:00,00:00:00,1,07:45:00,08:10:17,100.0,98.4,06:05:13,05:55:56,03:00:00,02:29:13,61.4,63.4,79.5,83.3,59.0,63.6,93,84,74,67,96.2,93,98,,,,,,
2024-04-09T20:59:59-04:00,"Monday, Apr 8, 2024","Tuesday, Apr 9, 2024",2024-04-08 17:54:00,2024-04-09 01:24:00,07:30:00,00:00:00,00:00:00,1,07:30:00,08:13:17,100.0,99.1,05:34:45,05:58:17,02:45:00,02:35:17,58.7,62.8,74.9,82.5,56.0,62.9,88,87,69,68,96.2,95,98,,,,,,
2024-04-10T20:59:59-04:00,"Tuesday, Apr 9, 2024","Wednesday, Apr 10, 2024",2024-04-09 18:34:00,2024-04-10 02:00:00,07:26:00,00:00:00,00:00:00,1,07:26:00,08:11:08,100.0,99.1,04:59:54,05:52:19,01:58:56,02:35:17,59.3,62.4,77.8,82.4,55.0,62.4,102,79,74,62,96.8,96,98,,,,,,
2024-04-11T20:59:59-04:00,"Wednesday, Apr 10, 2024","Thursday, Apr 11, 2024",2024-04-10 17:09:00,2024-04-11 02:15:00,09:06:00,00:01:00,00:00:00,1,09:05:00,08:14:00,99.8,99.1,06:16:53,05:57:12,02:31:23,02:35:28,65.4,62.5,76.4,81.5,73.0,62.1,75,76,67,58,96.4,94,98,,,,,,
